year,month,day,hour,min,area,property,death,death_fireman,injury,injury_fireman,missing,detail,where,longtitude,latitude,reason,province,type,reason2,GDP,rank_G,killed_injured,id
2008,11,24,21,12,,51.8,3,,,,,人为因素,吉林省长春市农安县商业城超市,125.094327,44.461506,人为,吉林,公共,人为（纵火）,6426.1,22,3,00066
2008,12,3,1,33,,0.5,7,,,,,使用打火机不慎,浙江省温州市鹿城区江滨街道矮凳桥路31号的宽心老人公寓,120.682122,28.020644,用火不慎,浙江,住宅,用火不慎,21462.69,4,7,00067
2008,12,4,1,41,,54.1,11,,10,,,由于遗留火种引燃床铺可燃物所致,山东省青岛市城阳区青岛佳元迈克食品有限公司员工集体宿舍,120.346326,36.284247,遗留火种,山东,住宅,遗留火种,30933.28,3,21,00739
2008,12,5,4,50,,1,5,,,,,最终认定该起火灾为一层南半间设灵堂处点燃的蜡烛引燃,浙江省瑞安市飞云镇学前路16号民房,120.744849,27.843355,用火不慎,浙江,住宅,用火不慎,21462.69,4,5,00068
2008,12,5,20,35,56.7,19.3,5,,,,,电动助力车充电过程中电气线路短路引燃可燃物所致,安徽省铜陵市沙河路9号体育馆一门面房,117.821497,30.933267,电气（电器）,安徽,公共,电气（电动车）,8851.66,14,5,00069
2008,12,7,4,18,40,7.2,3,,,,,石英管电取暖箱长时间通电过热,湖南省怀化市鹤城区中国银行家属楼2栋2单元103室,110.050612,27.583775,电气（电器）,湖南,住宅,电气（电器）,11555,10,3,00070
2008,12,7,18,22,10000,8372.8,,,,,,因停电后恢复供电时的操作过电压，导致照明灯具发生电气故障引燃可燃物发生火灾,上海市普陀区施耐德电气（中国）投资有限公司上海分公司物流仓库,121.398443,31.263743,电气（电线）,上海,工厂,电气（电线）,14069.86,7,0,00738
2008,12,8,5,47,131,0.15,5,,,,,锯板机的电源线短路,浙江省温州市龙湾区沙城镇中宁路120-122号民房,120.81271,27.884994,电气（电器）,浙江,住宅,电气（电器）,21462.69,4,5,00071
2008,12,10,0,31,15,2.5,3,,,,,人为纵火,安徽省五河县金贸园市场一门面房,117.892143,33.145176,人为,安徽,公共,人为（纵火）,8851.66,14,3,00072
2008,12,11,0,38,1500,,3,,,,,电焊作业时掉落的电焊渣引燃户外广告牌,湖南省岳阳市步行街百汇服饰广场,113.146196,29.378007,违章操作,湖南,公共,违章操作,11555,10,3,00073
2008,12,12,16,2,696,97.9,7,,,,,电线短路,山西省运城市盐湖区北城名人保健中心,110.961931,35.063677,电气（电线）,山西,公共,电气（电线）,7315.4,17,7,00074
2008,12,17,0,49,2413,160,5,,,,,不慎用打火机,福建省莆田市涵江区小商品市场一期商城街91弄17号、19号中贸布行,119.105491,25.457069,用火不慎,福建,公共,用火不慎,10823.01,13,5,00075
2008,12,25,20,32,1866,3355.6,,,,,,电缆局部过热引起短路,西藏自治区拉萨市宇拓路12号仁益商贸综合楼建筑工地工棚,91.132174,29.655744,电气（电线）,西藏,公共,电气（电线）,394.85,31,0,00076
2008,12,29,15,2,,2.15,3,,1,,,电气故障,上海市宝山区华灵路1225弄（华欣苑小区）89号居民别墅,121.427035,31.286093,电气（电线）,上海,住宅,电气（电线）,14069.86,7,4,00077
2009,1,5,11,40,3000,12.5,4,,,,,用火不慎,贵州省黔东南州锦屏县平略镇岑梧村,109.048073,26.561764,用火不慎,贵州,住宅,用火不慎,3912.68,26,4,00078
2009,1,9,21,33,615,5,6,,2,,,电气线路短路引燃,浙江省台州温岭市太平街道沙塘头路1号民房,121.382003,28.368056,电气（电线）,浙江,住宅,电气（电线）,22990.35,4,8,00079
2009,1,12,0,21,150,8.9,4,,,,,插线板故障,浙江省余姚市兰江街道郭相桥村莫家湖自然村178号一砖混结构民房,121.101148,30.028555,电气（电器）,浙江,住宅,电气（电器）,22990.35,4,4,00080
2009,1,12,22,44,,4.5,3,,,,,电气故障,江西省吉安市新干县金川镇川琴路22-1号店面,115.41172,27.758618,电气（电线）,江西,公共,电气（电线）,7655.18,19,3,00081
2009,1,15,3,35,22.7,0.5,5,,,,,人为放火,广东省汕头市澄海区广益街道埔美居委美新东路口一出租屋,116.780278,23.4755,人为,广东,住宅,人为（纵火）,39482.56,1,5,00082
2009,1,21,5,30,220,38.7,3,,,,,电热汀电源连接线路故障,陕西省西安市桃园南路65号的五七零二厂科技中心门面房,108.907867,34.261455,电气（电器）,陕西,公共,电气（电器）,8169.8,17,3,00083
2009,1,23,23,37,200,51.4,3,,2,,,商铺内停放的电单车电瓶线路故障打火引燃,广西壮族自治区柳州市柳江县拉堡镇商贸街西八栋商铺,109.338384,24.262353,电气（电器）,广西,公共,电气（电动车）,7759.16,18,5,00084
2009,1,24,2,18,280,17.8,3,,,,,电源插座电气故障引燃,浙江省宁波余姚市河姆渡镇翁方村宋家自然村162号民房,121.296586,30.012363,电气（电器）,浙江,住宅,电气（电器）,22990.35,4,3,00085
2009,1,26,0,47,84,0.5,3,,1,,,烟花燃放后的火星引燃堆积在室内可燃物所致,浙江省温州市文成县大峃镇新殿巷28-2号民房,120.09392,27.795573,外来火种,浙江,住宅,外来火种,22990.35,4,4,00086
2009,1,26,3,10,16,,3,,,,,移动插座的电源线短路所致,北京市朝阳区十八里店乡周庄村337号院东七排10号住宅,116.483705,39.846692,电气（电线）,北京,住宅,电气（电线）,12153.03,13,3,00087
2009,1,28,19,17,30,20,6,,3,,,电气故障,浙江省温州市瓯海区南白象街道霞坊北路131号的恒泰打火机加工场,120.688104,27.94087,电气（电线）,浙江,工厂,电气（电线）,22990.35,4,9,00088
2009,1,31,,,,11,15,,22,,,酒吧内顾客燃放烟花引燃顶棚处的吸音棉引发火灾,福建省福州长乐市吴航街道郑和中路178号拉丁酒吧,119.518722,25.964749,用火不慎,福建,公共,用火不慎,12236.53,12,37,00740
2009,2,9,,,,16383,1,1,6,6,,因违规燃放烟花爆竹引发火灾,北京市中央电视台新址园区在建附属文化中心工地,116.471265,39.921039,用火不慎,北京,公共,用火不慎,12153.03,13,7,00741
2009,2,12,11,10,10,,3,,,,,小孩在牛栏内玩火引燃稻草着火所致,湖南省娄底市新化县桑梓镇聚星村四组一村民家牛栏,111.356293,27.769572,小孩玩火,湖南,住宅,小孩玩火,13059.69,10,3,00089
2009,2,17,4,52,535,25.9,4,,4,,,电气线路短路,浙江省丽水市云和县云和镇贵溪村269号,119.549386,28.106524,电气（电线）,浙江,住宅,电气（电线）,22990.35,4,8,00090
2009,2,18,16,1,,5.5,5,,2,,,电加热器具引燃,江西省新余市新都宾馆,114.947117,27.822322,用火不慎,江西,公共,用火不慎,7655.18,19,7,00091
2009,2,26,22,45,128.4,2.8,3,,,,,烘烤不慎,湖南省湘西自治州龙山县洗车河镇干溪村二组一村民家,109.56887,29.187349,用火不慎,湖南,住宅,用火不慎,13059.69,10,3,00092
2009,3,3,3,40,90,14.2,6,,,,,电气线路短路,湖北省鄂州市鄂城区鼓楼街办事处十字街综合二号楼一层联盟鲜冻门店,114.8908,30.412083,电气（电线）,湖北,公共,电气（电线）,12961.1,11,6,00093
2009,3,18,2,15,86.3,1,3,,,,,使用电热管不慎,浙江省温州乐清市柳市镇车站路79号十足便利店,120.907394,28.053276,用火不慎,浙江,公共,用火不慎,22990.35,4,3,00094
2009,3,19,3,10,70,22,4,,2,,,电气线路故障,广西壮族自治区南宁市横县云表镇站圩村委站圩街副食百货店,109.426002,22.813702,电气（电线）,广西,公共,电气（电线）,7759.16,18,6,00095
